i,a,b,title,type,year,final,motivo,evidencia,flags
244,Lil Uzi Vert,Future,That Way,song,2019,SUSPEITA,não recordo That Way entre os dois,,
246,Mac Miller,Anderson .Paak,Dang!,song,2016,SUSPEITA,possível duplicata de 154,,dup_of_154
247,Mac Miller,Ty Dolla $ign,Cinderella (Live Duet),live,2016,SUSPEITA,Cinderella é faixa de estúdio; dueto ao vivo incerto,,
248,Chance the Rapper,Kanye West,Ultralight Beam,song,2016,SUSPEITA,possível duplicata de 24,,dup_of_24
252,Gorillaz,George Benson,Humility (Live Performance),live,2018,SUSPEITA,"near-dup de 197, versão ao vivo incerta",,
263,Summer Walker,Usher,Come Thru,song,2019,SUSPEITA,possível duplicata (near-dup),,near_dup_pair7060
281,Ice Spice,Nicki Minaj,Princess Diana,song,2023,SUSPEITA,"existe mas flag near_dup, possível duplicata",,near_dup_pair12452
317,Karol G,Nicki Minaj,Tusa,song,2019,SUSPEITA,"existe mas flag near_dup, possível duplicata",,near_dup_pair6017
323,Jason Derulo,Nicki Minaj,Swalla,song,2017,SUSPEITA,"existe mas flag near_dup, possível duplicata",,near_dup_pair14588
335,Jay-Z,Beyoncé,Drunk in Love,song,2013,SUSPEITA,"existe mas flag near_dup, possível duplicata",,near_dup_pair17211
352,Lady Gaga,Elton John,Grammys Duet (Live),live,2010,SUSPEITA,dueto ao vivo no Grammy 2010 difícil confirmar de memória,,
361,Tate McRae,Khalid,Working,song,2021,SUSPEITA,"título genérico, não recordo feature Tate McRae & Khalid",,
375,Nick Jonas,Anne-Marie,Remember I Told You,song,2017,SUSPEITA,não recordo feature Nick Jonas & Anne-Marie 'Remember I Told You',,
378,Zara Larsson,Young Thug,Talk About Love,song,2024,SUSPEITA,não recordo Zara Larsson & Young Thug 'Talk About Love',,
381,Anne-Marie,Ed Sheeran,2002,song,2018,SUSPEITA,possível duplicata (near_dup),,near_dup_pair12585
388,Rick Ross,Meek Mill,Ima Boss,song,2011,SUSPEITA,possível duplicata (near_dup); Meek Mill 'Ima Boss' feat Rick Ross,,near_dup_pair12600
393,Nas,Jay-Z,Black Republican,song,2006,SUSPEITA,possível duplicata (near_dup); Nas & Jay-Z 'Black Republican' real,,near_dup_pair14662
395,Lil Yachty,Future,Pardon Me,song,2024,SUSPEITA,não recordo Lil Yachty & Future 'Pardon Me' 2024,,
399,Gucci Mane,The Weeknd,Curve,song,2016,SUSPEITA,não recordo Gucci Mane & The Weeknd 'Curve' 2016,,
420,Bryson Tiller,Rihanna,Wild Thoughts,song,2017,SUSPEITA,possível duplicata (dup_of_418),,dup_of_418
422,Brent Faiyaz,"Tyler, The Creator",Gravity,song,2020,SUSPEITA,não recordo Brent Faiyaz & Tyler 'Gravity' 2020,,
428,Ari Lennox,Summer Walker,Unloyal,song,2021,SUSPEITA,não recordo Ari Lennox & Summer Walker 'Unloyal' 2021,,
434,Tinashe,Future,2 On,song,2014,SUSPEITA,"'2 On' é Tinashe feat. Schoolboy Q, não Future",,
441,Ella Mai,John Legend,Everything,song,2020,SUSPEITA,não recordo Ella Mai & John Legend 'Everything' 2020,,
442,Ella Mai,Nicki Minaj,Whatchamacallit,song,2018,SUSPEITA,"'Whatchamacallit' é Ella Mai feat. Chris Brown, não Nicki Minaj",,
443,Ella Mai,Roddy Ricch,How,song,2022,SUSPEITA,não recordo Ella Mai & Roddy Ricch 'How' 2022,,
445,Teyana Taylor,Kehlani,Morning,song,2020,SUSPEITA,não recordo Teyana Taylor & Kehlani 'Morning' 2020,,
447,PARTYNEXTDOOR,Rihanna,Work,song,2016,SUSPEITA,'Work' é Rihanna feat Drake; PARTYNEXTDOOR escreveu mas não é dueto,,
449,Tame Impala,Lady Gaga,Perfect Illusion,song,2016,SUSPEITA,Tame Impala co-escreveu 'Perfect Illusion' mas não é dueto/feature,,
452,Phoebe Bridgers,The 1975,Jesus Christ 2005 God Bless America,song,2020,SUSPEITA,"música da Phoebe, conexão só no título",,
456,St. Vincent,Taylor Swift,Cruel Summer,song,2019,SUSPEITA,"St. Vincent só co-autora, não feature",,
461,Harry Styles,Stevie Nicks,Two Ghosts (live duet),live,2017,SUSPEITA,duo ao vivo não confirmado de memória,,
470,Tiësto,DJ Snake,Boom,song,2017,SUSPEITA,Boom não confirmo DJ Snake na faixa,,
475,DJ Snake,Cardi B,Taki Taki,song,2018,SUSPEITA,possível duplicata,,near_dup_pair3635
476,DJ Snake,Ozuna,Taki Taki,song,2018,SUSPEITA,possível duplicata,,near_dup_pair3634
477,DJ Snake,Major Lazer,Lean On,song,2015,SUSPEITA,possível duplicata,,dup_of_206
491,Luis Fonsi,Daddy Yankee,Despacito,song,2017,SUSPEITA,possível duplicata,,near_dup_pair3194
498,Nicky Jam,J. Balvin,X,song,2018,SUSPEITA,título ultracurto e possível duplicata,,ultrashort_title;near_dup_pair18182
501,Feid,Karol G,Friki,song,2023,SUSPEITA,colab Feid/Karol G não confirmo este título,,
507,Sech,Ozuna,Otro Trago,song,2019,SUSPEITA,possível duplicata,,near_dup_pair9643
508,Sech,Daddy Yankee,Definitivamente,song,2020,SUSPEITA,não confirmo Daddy Yankee em Definitivamente,,
509,Tainy,Bad Bunny,Volvi,song,2021,SUSPEITA,"Tainy produtor, autoria do feature incerta",,
518,Rema,Selena Gomez,Calm Down,song,2022,SUSPEITA,possível duplicata,,near_dup_pair988
520,Burna Boy,Wizkid,Ballon d'Or,song,2018,SUSPEITA,não confirmo Ballon d'Or com Wizkid,,
525,Davido,Chris Brown,Shopping Spree,song,2018,SUSPEITA,não confirmo Chris Brown em Shopping Spree,,
528,Mr Eazi,Major Lazer,Leg Over (Remix),song,2017,SUSPEITA,lineup do remix Leg Over incerto,,
529,Mr Eazi,J. Balvin,Arcoiris,song,2019,SUSPEITA,colab Mr Eazi/Balvin não confirmo este título,,
531,Yemi Alade,Rick Ross,Oh My Gosh (Remix),song,2018,SUSPEITA,remix com Rick Ross não confirmado,,
540,Chris Stapleton,Taylor Swift,I Bet You Think About Me,song,2021,SUSPEITA,possível duplicata (near_dup),,near_dup_pair15416
580,Lexa,Pedro Sampaio,Chama Ela,song,2022,SUSPEITA,não recordo com firmeza esta faixa,,
582,Wesley Safadão,Anitta,Romance com Safadeza,song,2016,SUSPEITA,possível duplicata (near_dup),,near_dup_pair17769
588,Caetano Veloso,Anitta,Você Mentiu,song,2021,SUSPEITA,não recordo essa colaboração Caetano e Anitta,,
589,Emicida,Pabllo Vittar,AmarElo,album,2019,SUSPEITA,"AmarElo é álbum solo de Emicida, não dupla",,
591,Emicida,Criolo,Criolo e Emicida - Ao Vivo,dvd,2013,SUSPEITA,registro ao vivo não confirmado de memória,,
592,Criolo,Mano Brown,Vida Loka I - Ao Vivo,live,2013,SUSPEITA,ao vivo Vida Loka I não confirmado,,
593,Mano Brown,Racionais MC's,"Vida Loka, Pt. II",song,2002,SUSPEITA,Mano Brown é membro do Racionais,,
597,The 1975,Phoebe Bridgers,Jesus Christ 2005 God Bless America,song,2020,SUSPEITA,possível duplicata (dup_of_452),,dup_of_452
602,Caetano Veloso,Gilberto Gil,"Dois Amigos, Um Século de Música",dvd,2016,SUSPEITA,possível duplicata (dup_of_584),,dup_of_584
604,21 Savage,Metro Boomin,Savage Mode,mixtape,2016,SUSPEITA,possível duplicata (near_dup),,near_dup_pair153
610,Marília Mendonça,Maiara & Maraisa,Patroas,album,2021,SUSPEITA,possível duplicata (near_dup),,near_dup_pair611
612,Maiara & Maraisa,Maria Cecília & Rodolfo,Medo Bobo,song,2017,SUSPEITA,colaboração não confirmada de memória,,
613,Gusttavo Lima,Bruno & Marrone,Cleiton e Cleiton,song,2020,SUSPEITA,colaboração de Buteco não confirmada,,
614,Luan Santana,Henrique & Juliano,"Eu, Você, O Mar e Ela",live,2017,SUSPEITA,"faixa é solo de Luan, feat. incerto",,
615,Bruno & Marrone,Leonardo,Sentimental Demais,live,2007,SUSPEITA,registro ao vivo não confirmado,,
617,Lauana Prado,Léo Santana,Coração Cigano,song,2022,SUSPEITA,não recordo essa faixa com firmeza,,
618,Ferrugem,Léo Santana,Climatizou,song,2019,SUSPEITA,colaboração não confirmada de memória,,
619,Wesley Safadão,Anitta,Romance Com Safadeza,song,2016,SUSPEITA,possível duplicata (dup_of_582),,dup_of_582
620,Lauana Prado,Marília Mendonça,Cobaia,song,2021,SUSPEITA,não recordo essa faixa com firmeza,,
621,Emicida,Rashid,Mil Faces de um Homem Leal (Acéfalo),song,2013,SUSPEITA,colaboração não confirmada de memória,,
622,Emicida,Criolo,Catraca,song,2011,SUSPEITA,faixa Catraca não confirmada de memória,,
624,Drik Barbosa,Rashid,Sintonia,song,2018,SUSPEITA,colaboração não confirmada de memória,,
625,Djonga,BK',O Mundo é Nosso,song,2017,SUSPEITA,não recordo essa faixa com firmeza,,
626,Djonga,Black Alien,Bença,song,2018,SUSPEITA,feat. de Black Alien não confirmado,,
627,Djonga,Filipe Ret,Hat-Trick,song,2019,SUSPEITA,colaboração não confirmada de memória,,
630,Teto,WIU,Diferentão,song,2021,SUSPEITA,"colab plausível de trap BR, não recordo o título exato",,
631,Veigh,Matuê,Brabo Style,song,2023,SUSPEITA,"dupla plausível, título não confirmado de memória",,
633,Orochi,Veigh,Surreal,song,2023,SUSPEITA,"colab de trap plausível, título incerto",,
634,Orochi,L7nnon,Insônia,song,2021,SUSPEITA,"dupla plausível, não recordo a faixa",,
635,L7nnon,MC Cabelinho,Não Pode,song,2021,SUSPEITA,"colab plausível, título não confirmado",,
636,Orochi,MC Cabelinho,Vida Loka,song,2021,SUSPEITA,"'Vida Loka' título genérico/reutilizado, incerto",,
637,Filipe Ret,Orochi,Conexões de Máfia,song,2021,SUSPEITA,"Filipe Ret×Orochi plausível, título incerto",,
639,Xamã,Filipe Ret,Sol e Chuva,song,2020,SUSPEITA,"dupla plausível, faixa não confirmada",,
640,BK',Rashid,Tudo Posso,song,2018,SUSPEITA,"BK'×Rashid plausível, título incerto",,
641,BK',Djonga,Pelej,song,2019,SUSPEITA,"BK'×Djonga plausível, 'Pelej' não confirmado",,
642,Froid,BK',Bússola,song,2017,SUSPEITA,"Froid×BK' plausível, título incerto",,
643,Froid,Rashid,Refém,song,2016,SUSPEITA,"colab plausível, não recordo a faixa",,
644,Sant,Djonga,Trono,song,2017,SUSPEITA,"Sant×Djonga plausível, título incerto",,
645,Sant,Rashid,Pólvora,song,2018,SUSPEITA,"colab plausível, faixa não confirmada",,
646,Hungria,Orochi,Coração de Gelo,song,2022,SUSPEITA,"Hungria×Orochi plausível, título incerto",,
647,Don L,Djonga,Tablado,song,2018,SUSPEITA,"Don L×Djonga plausível, faixa não confirmada",,
648,Don L,BK',Sal,song,2017,SUSPEITA,"colab plausível, título incerto",,
649,Filipe Ret,L7nnon,Eu Vou Mudar,song,2019,SUSPEITA,"Filipe Ret×L7nnon plausível, título incerto",,
650,Veigh,Teto,Novo Balanço,song,2023,SUSPEITA,"Veigh×Teto plausível, faixa não confirmada",,
651,Xamã,L7nnon,Soltaria,song,2020,SUSPEITA,"Xamã×L7nnon plausível, título incerto",,
652,Djonga,Rashid,Casa,song,2018,SUSPEITA,"Djonga×Rashid plausível, 'Casa' não confirmado",,
653,Emicida,Don L,Trgdr,song,2015,SUSPEITA,"Emicida×Don L plausível, título abreviado incerto",,
655,Titãs,Os Paralamas do Sucesso,Titãs e Os Paralamas Juntos,live,2009,SUSPEITA,possível duplicata de 654,,dup_of_654
656,Nando Reis,Titãs,MTV Ao Vivo Titãs Trio Acústico,live,2006,SUSPEITA,MTV Acústico Titãs é trio sem Nando; pareamento incerto,,
668,O Rappa,Marcelo D2,O Rappa Ao Vivo,live,2003,SUSPEITA,O Rappa ao vivo com Marcelo D2 não confirmado,,
671,Ney Matogrosso,Cazuza,O Tempo Não Para,song,1988,SUSPEITA,'O Tempo Não Para' é de Cazuza; dueto com Ney incerto,,
672,Engenheiros do Hawaii,Capital Inicial,Rock in Rio,live,2001,SUSPEITA,Rock in Rio título genérico; colab específica incerta,,
673,Legião Urbana,Capital Inicial,Brasília,live,1988,SUSPEITA,pareamento Legião×Capital ao vivo não confirmado,,
674,Marisa Monte,Carlinhos Brown,Tribalistas,album,2002,SUSPEITA,possível near-dup; trio Tribalistas é coletivo,,near_dup_pair677
675,Marisa Monte,Arnaldo Antunes,Tribalistas,album,2002,SUSPEITA,possível near-dup do trio Tribalistas,,near_dup_pair678
676,Carlinhos Brown,Arnaldo Antunes,Tribalistas,album,2002,SUSPEITA,possível near-dup do trio Tribalistas,,near_dup_pair679
680,Marisa Monte,Arnaldo Antunes,O Céu É Velho Há Muito Tempo,song,2000,SUSPEITA,"faixa do Tribalistas 2002, título exato incerto",,
681,Marisa Monte,Carlinhos Brown,Maria de Verdade,song,2000,SUSPEITA,"faixa Tribalistas, título exato não confirmado",,
682,Marisa Monte,Seu Jorge,Eu Sei (Na Mira),song,2006,SUSPEITA,Marisa×Seu Jorge 'Eu Sei (Na Mira)' não confirmado,,
683,Caetano Veloso,Maria Bethânia,Caetano e Bethânia ao Vivo,live,1978,SUSPEITA,possível duplicata (dup_of_585),,dup_of_585
685,Milton Nascimento,Gilberto Gil,Estrela Guia,song,1980,SUSPEITA,Milton×Gil 'Estrela Guia' não confirmado de memória,,
688,Chico Buarque,Maria Bethânia,Olhos nos Olhos,song,1976,SUSPEITA,"'Olhos nos Olhos' é de Chico/Bethânia, dueto incerto",,
690,Chico Buarque,Caetano Veloso,Cálice,song,1978,SUSPEITA,Cálice é de Chico×Gil; versão com Caetano incerta,,
691,Djavan,Caetano Veloso,Lilás,song,1984,SUSPEITA,'Lilás' é de Djavan; participação de Caetano incerta,,
692,Djavan,Gilberto Gil,Sina,song,1982,SUSPEITA,'Sina' é faixa solo de Djavan; dueto com Gil incerto,,
693,Djavan,Maria Bethânia,Álibi,song,1978,SUSPEITA,"'Álibi' é da Maria Bethânia, composta por Djavan; colab incerta",,
695,Zeca Pagodinho,Beth Carvalho,Vou Festejar,song,1978,SUSPEITA,'Vou Festejar' é de Beth Carvalho; dueto com Zeca incerto,,
696,Zeca Pagodinho,Jorge Ben Jor,Acústico MTV - Gafieira,dvd,2006,SUSPEITA,Acústico MTV Gafieira Zeca; part. Jorge Ben incerta,,
697,Zeca Pagodinho,Diogo Nogueira,Outra Vez,song,2009,SUSPEITA,"Zeca×Diogo Nogueira plausível, título incerto",,
698,Zeca Pagodinho,Marcelo D2,Vai Vendo,song,2003,SUSPEITA,Zeca×Marcelo D2 'Vai Vendo' não confirmado,,
699,Martinho da Vila,Beth Carvalho,"Canta Canta, Minha Gente",song,1974,SUSPEITA,'Canta Canta Minha Gente' é de Martinho; dueto com Beth incerto,,
700,Martinho da Vila,Maria Bethânia,Brasil com S,song,1996,SUSPEITA,Martinho×Bethânia 'Brasil com S' não confirmado,,
701,Alcione,Caetano Veloso,Você Me Vira a Cabeça,song,1990,SUSPEITA,'Você Me Vira a Cabeça' é da Alcione; dueto com Caetano incerto,,
702,Alcione,Zeca Pagodinho,Acústico,live,2010,SUSPEITA,título genérico 'Acústico',,generic_title
703,Elza Soares,Caetano Veloso,Língua,song,1989,SUSPEITA,'Língua' é de Caetano; participação de Elza incerta,,
704,Ney Matogrosso,Maria Bethânia,Pra Sempre Agora,song,1989,SUSPEITA,Ney×Bethânia 'Pra Sempre Agora' não confirmado,,
705,Ney Matogrosso,Gilberto Gil,A Novidade,song,1986,SUSPEITA,'A Novidade' é dos Paralamas/Gil; dueto com Ney incerto,,
706,Seu Jorge,Caetano Veloso,Burguesinha,song,2011,SUSPEITA,'Burguesinha' é de Seu Jorge; dueto com Caetano incerto,,
707,Seu Jorge,Gilberto Gil,Tradição,song,2005,SUSPEITA,Seu Jorge×Gil 'Tradição' não confirmado,,
708,Adriana Calcanhotto,Caetano Veloso,A Fábrica do Poema,song,1994,SUSPEITA,'A Fábrica do Poema' é de Adriana; dueto com Caetano incerto,,
709,Adriana Calcanhotto,Marisa Monte,Esquadros,song,1994,SUSPEITA,'Esquadros' é de Adriana (Adriana Partimpim posterior); dueto incerto,,
710,Maria Gadú,Caetano Veloso,Maria Gadú,album,2009,SUSPEITA,álbum estreia Maria Gadú; part. de Caetano incerta na faixa,,
711,Diogo Nogueira,Alcione,Vou Por Aí,song,2011,SUSPEITA,Diogo Nogueira×Alcione 'Vou Por Aí' não confirmado,,
712,Mart'nália,Caetano Veloso,Menino do Rio,song,2004,SUSPEITA,'Menino do Rio' é de Caetano; versão Mart'nália incerta,,
713,Mart'nália,Marisa Monte,Mim Por Mim,song,2004,SUSPEITA,Mart'nália×Marisa 'Mim Por Mim' não confirmado,,
714,Beth Carvalho,Jorge Ben Jor,Andança,song,1969,SUSPEITA,'Andança' gravada por Beth Carvalho; colab com Jorge Ben incerta,,
715,Gal Costa,Gilberto Gil,Gal Canta Caymmi,album,1976,SUSPEITA,'Gal Canta Caymmi' é álbum solo da Gal; Gil como colab incerto,,
719,Jorge Ben Jor,Gilberto Gil,"Gil e Jorge (Ogum, Xangô)",album,1975,SUSPEITA,possível duplicata (dup_of_587),,dup_of_587
720,Thiaguinho,Péricles,Vou Te Assumir,song,2019,SUSPEITA,dupla plausível de pagode mas não confirmo a faixa,,
721,Thiaguinho,Ludmilla,Ousadia & Alegria (Tardezinha ao vivo),live,2019,SUSPEITA,"Tardezinha ao vivo plausível, não confirmo essa participação",,
722,Thiaguinho,Iza,Tardezinha,live,2019,SUSPEITA,participação no Tardezinha não confirmada,,
723,Thiaguinho,Ferrugem,Tardezinha,live,2018,SUSPEITA,Ferrugem no Tardezinha plausível mas não confirmo,,
724,Thiaguinho,Dilsinho,Energia (Tardezinha),live,2019,SUSPEITA,participação no Tardezinha não confirmada,,
725,Thiaguinho,Anitta,Tardezinha,live,2019,SUSPEITA,Anitta no Tardezinha não confirmada,,
726,Péricles,Zeca Pagodinho,Ser Humano,song,2014,SUSPEITA,"dupla de samba plausível, faixa não confirmada",,
727,Péricles,Belo,Pagode em Casa,live,2016,SUSPEITA,participação ao vivo não confirmada,,
728,Péricles,Sorriso Maroto,Sorriso Eu Fico Assim Sem Você,live,2015,SUSPEITA,"título é de Sorriso, participação não confirmada",,
729,Sorriso Maroto,Dilsinho,Assim Você Mata o Papai,song,2017,SUSPEITA,"parceria de pagode plausível, faixa não confirmada",,
730,Sorriso Maroto,Ferrugem,Sinais,live,2019,SUSPEITA,"Sinais é do Sorriso, participação não confirmada",,
731,Sorriso Maroto,Anitta,"Ai, Ai, Ai",live,2015,SUSPEITA,"Ai Ai Ai é do Sorriso, Anitta não confirmada",,
732,Sorriso Maroto,Menos é Mais,Você Vai Ver,live,2022,SUSPEITA,colaboração ao vivo não confirmada,,
733,Ferrugem,Ludmilla,Climatizar,song,2019,SUSPEITA,"parceria plausível, faixa não confirmada",,
734,Ferrugem,Dilsinho,Pra Você Acreditar,live,2018,SUSPEITA,participação ao vivo não confirmada,,
735,Ferrugem,Menos é Mais,Sentimento Vivo,live,2021,SUSPEITA,colaboração ao vivo não confirmada,,
736,Dilsinho,Anitta,Refém,song,2017,SUSPEITA,"Refém é do Dilsinho, Anitta não confirmada",,
737,Dilsinho,Belo,Péssimo Negócio (ao vivo),live,2019,SUSPEITA,participação ao vivo não confirmada,,
738,Dilsinho,Menos é Mais,Trovão,song,2022,SUSPEITA,"parceria plausível, faixa não confirmada",,
739,Menos é Mais,Zeca Pagodinho,Deixa Acontecer (ao vivo),live,2021,SUSPEITA,"Deixa Acontecer é do Fundo de Quintal, participação não confirmada",,
740,Menos é Mais,Xande de Pilares,Encontros,live,2022,SUSPEITA,colaboração ao vivo não confirmada,,
741,Zeca Pagodinho,Caetano Veloso,Mais Feliz,live,2009,SUSPEITA,colaboração ao vivo não confirmada,,
742,Zeca Pagodinho,Maria Bethânia,Quando a Maré Encher,song,2003,SUSPEITA,"parceria plausível, faixa não confirmada",,
743,Zeca Pagodinho,Xande de Pilares,Vida que Segue,live,2018,SUSPEITA,colaboração ao vivo não confirmada,,
744,Zeca Pagodinho,Gilberto Gil,Roque Santeiro,live,2008,SUSPEITA,colaboração ao vivo não confirmada,,
746,Ivete Sangalo,Caetano Veloso,Quando a Chuva Passar (ao vivo),live,2010,SUSPEITA,colaboração ao vivo não confirmada,,
747,Ivete Sangalo,Gilberto Gil,Real Fantasia (ao vivo),live,2012,SUSPEITA,colaboração ao vivo não confirmada,,
748,Ivete Sangalo,Anitta,Divas (Múltiplo Vivo),live,2018,SUSPEITA,participação ao vivo não confirmada,,
749,Ivete Sangalo,Daniela Mercury,O Canto da Cidade (ao vivo),live,2015,SUSPEITA,"O Canto da Cidade é da Daniela, encontro não confirmado",,
750,Ivete Sangalo,Saulo,Sigaleia (ao vivo),live,2014,SUSPEITA,colaboração ao vivo não confirmada,,
751,Ivete Sangalo,Léo Santana,Bola Rebola,live,2018,SUSPEITA,"Bola Rebola é de Anitta/Tropkillaz, participação não confirmada",,
752,Daniela Mercury,Gilberto Gil,Toda Menina Baiana,live,1996,SUSPEITA,"Toda Menina Baiana é do Gil, encontro ao vivo não confirmado",,
753,Daniela Mercury,Caetano Veloso,O Quereres (ao vivo),live,2000,SUSPEITA,"O Quereres é de Caetano, encontro não confirmado",,
754,Claudia Leitte,Anitta,Larga do Meu Pé,song,2016,SUSPEITA,"parceria plausível, faixa não confirmada",,
755,Claudia Leitte,Léo Santana,Carnaval Salvador,live,2019,SUSPEITA,"título genérico de evento, colaboração não confirmada",,
756,Claudia Leitte,Daniela Mercury,Festival de Verão,live,2013,SUSPEITA,"título genérico de festival, colaboração não confirmada",,
757,Bell Marques,Léo Santana,Apocalipse (ao vivo),live,2017,SUSPEITA,colaboração ao vivo não confirmada,,
758,Bell Marques,Ivete Sangalo,Chiclete com Banana,live,2014,SUSPEITA,"Chiclete com Banana clássico, encontro não confirmado",,
759,Bell Marques,Saulo,Trio Elétrico,live,2016,SUSPEITA,"título genérico, colaboração não confirmada",,
